Trajectory,Agent,Reward,Target Lost,RMSE (m),Max Error (m),Mean Error (m),Median Error (m),P95 Error (m),Std Error (m),X Mean Error (m),Y Mean Error (m),Speed Dev (m/s),Heading Err (deg),Mean Accel (m/s²),Max Accel (m/s²),Control Effort,Peak Control,Action Jitter,Time within 0.5m (%),Time within 1.0m (%),Path Efficiency (%)
square,RL,1924.056160273031,0,0.07701479643583298,0.175673246383667,0.06712053716182709,0.06698098033666611,0.14512343779206274,0.03776390105485916,0.028042560443282127,0.05492386594414711,0.18763354420661926,14.816553115844727,6.880076885223389,10.685635566711426,0.09172197431325912,0.5162883400917053,0.0783340111374855,100.0,100.0,97.46944282168552
square,PD,1686.4401681951651,0,0.37115997076034546,0.5688936710357666,0.34554430842399597,0.3787291944026947,0.5347910940647125,0.13549482822418213,0.1527799814939499,0.23747502267360687,0.15680761635303497,13.343099594116211,6.305083751678467,10.67077922821045,0.020677046098639715,0.05684094747275049,0.007566211149136574,87.1,100.0,99.59937114145056
triangular,RL,1912.9533832428067,0,0.09082010388374329,0.18898198008537292,0.08157405257225037,0.08407363295555115,0.14637969359755515,0.0399245023727417,0.0572923980653286,0.04875332489609718,0.18588049709796906,12.642559051513672,6.778841495513916,10.666542053222656,0.08358700573444366,0.4195784330368042,0.05948134884238243,100.0,100.0,98.56566607625236
triangular,PD,1575.723148933825,0,0.548184335231781,0.9935443997383118,0.49138587713241577,0.5174986124038696,0.9228293865919113,0.2429937720298767,0.3940599858760834,0.23452065885066986,0.1732964962720871,10.470989227294922,6.324934959411621,10.658926963806152,0.025326572441138027,0.06145110014753727,0.007565211984376851,46.400000000000006,100.0,100.24927594210871
sawtooth,RL,1918.6798308077923,0,0.0782548189163208,0.15698283910751343,0.07171476632356644,0.06765048205852509,0.1300372987985611,0.03131786733865738,0.044811248779296875,0.04653381183743477,0.19125881791114807,14.882081031799316,6.875133037567139,10.708206176757812,0.08845452964305878,0.5546141862869263,0.07422174513339996,100.0,100.0,97.50681938282418
sawtooth,PD,1719.1545284132812,0,0.3386043906211853,0.6380710005760193,0.30754077434539795,0.3455110788345337,0.5056895554065703,0.1416742503643036,0.13876605033874512,0.2681370675563812,0.16267059743404388,13.119804382324219,6.308295726776123,10.710201263427734,0.019523615458221826,0.051463713938235366,0.007568840995262492,94.39999999999999,100.0,99.7734524657805
square_wave,RL,1916.3289361148377,0,0.08296163380146027,0.19687782227993011,0.07457295805215836,0.06910347938537598,0.1475405253469944,0.03635254129767418,0.04297872260212898,0.05199786648154259,0.1810549795627594,17.63959503173828,6.963397026062012,10.777856826782227,0.09921898692846298,0.41069456934928894,0.08378127217292786,100.0,100.0,96.04691543043164
square_wave,PD,1772.6838876048625,0,0.2694031894207001,0.47666051983833313,0.24439968168735504,0.23792096972465515,0.4333957999944687,0.11334401369094849,0.13876831531524658,0.1448858678340912,0.14963819086551666,15.482010841369629,6.293540000915527,10.781547546386719,0.01655620218294444,0.04679203963063058,0.007561313856920542,100.0,100.0,98.6486001880325
spline_easy,RL,1881.0369590362297,0,0.11841056495904922,0.23534028232097626,0.11211927980184555,0.10398197919130325,0.18786223530769347,0.038083191961050034,0.05865122377872467,0.08290208131074905,0.16829141974449158,8.585665702819824,6.949491500854492,10.608589172363281,0.09192153811454773,0.4758157730102539,0.07661614567041397,100.0,100.0,98.06113311153153
spline_easy,PD,1837.1273196736158,0,0.19195117056369781,0.3405795991420746,0.17165444791316986,0.18310880661010742,0.2963406980037689,0.08590695261955261,0.16193081438541412,0.04410741478204727,0.14189571142196655,9.032693862915039,6.291681289672852,10.561219215393066,0.013710062244438851,0.03864111733455377,0.00754172032255958,100.0,100.0,98.80610152195321
spline_medium,RL,1922.6511064071758,0,0.0933469757437706,0.5994783639907837,0.07108867168426514,0.06115569919347763,0.14295609518885607,0.060498423874378204,0.03898139297962189,0.05064362287521362,0.17660050094127655,4.900318145751953,6.9205241203308105,10.75389575958252,0.08583169430494308,0.756727933883667,0.06613685935735703,99.5,100.0,99.44796229954045
spline_medium,PD,1697.8030092776733,0,0.3664942979812622,0.6402535438537598,0.33326154947280884,0.2775195240974426,0.5970448613166808,0.15249527990818024,0.22591723501682281,0.21773481369018555,0.14551739394664764,4.497645378112793,6.301815986633301,10.708093643188477,0.016797557857485258,0.04694964413212332,0.007546084515085301,76.6,100.0,100.25930263671003
spline_hard,RL,1820.511410346989,0,0.31212419271469116,2.2213659286499023,0.172427698969841,0.09445500373840332,0.44534832537174207,0.26017338037490845,0.1308331936597824,0.09671650826931,0.26278403401374817,2.986680030822754,6.8617377281188965,11.04559326171875,0.12739549577236176,1.4142135381698608,0.061060190200805664,97.1,98.0,99.33227171648099
spline_hard,PD,1453.0371097827585,0,1.0805047750473022,3.9041335582733154,0.7498383522033691,0.5728763341903687,2.8396615386009203,0.7779673337936401,0.6867319941520691,0.2631082534790039,0.30349433422088623,2.981774091720581,6.424447536468506,10.968802452087402,0.07228539257618476,0.41260282023249883,0.007834855416232502,41.0,86.9,101.91285801158587
